Number,Name,Latitude,Longitude
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198
M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031
M32016,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192
M32017,Harvard Square at Brattle St / Eliot St,42.373328798874056,-71.12098601080106
M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
M32005,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936
M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.367074071490926,-71.07679277658461
M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945
M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.076529
M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.369239074859216,-71.11687034368515
M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065
M32037,Ames St at Main St,42.3625,-71.08822
M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
M32021,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025
M32029,Porter Square Station,42.387995,-71.119084
M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
M32027,Binney St / Sixth St,42.36608797388682,-71.08633603909765
M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516
M32030,Dana Park,42.36178043960605,-71.10809952020645
M32031,Danehy Park,42.388966,-71.132788
M32032,Kendall Street,42.36356015842989,-71.08216792345047
M32033,Alewife Station at Russell Field,42.396105,-71.139459
M32034,EF - North Point Park,42.369885,-71.069957
M32035,Rogers St & Land Blvd,42.366446738529454,-71.07654601335526
M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042
M32039,Lesley University,42.38674802045056,-71.11901879310608
M32040,University Park,42.36264779118595,-71.10006093978882
M32041,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567
M32042,MIT Vassar St,42.35560121327927,-71.10394477844238
M32043,Mt Auburn,42.37478628706384,-71.13320231437683
M32044,Huron Ave At Vassal Lane,42.381650612901176,-71.13426981498378
M32045,Museum of Science,42.36769018024484,-71.07116281986237
M32046,Alewife MBTA at Steel Place,42.39558845716709,-71.14260613918304
M32047,Sidney Research Campus/Erie Street at Waverly,42.35775309465199,-71.10393404960632
M32048,Third at Binney,42.36544486137399,-71.08277142047882
M32004,Kendall T,42.3624278429124,-71.08495473861694
M32049,Child Street at Brian P. Murphy Staircase,42.37197678467975,-71.07200495972165
M32050,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025696
M32051,Fresh Pond Reservation,42.38267827521855,-71.143478951426
M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315
M32053,One Memorial Drive,42.361619320766856,-71.0804355052096
M32059,Ames St at Broadway,42.3636929,-71.0875672
M32058,84 Cambridgepark Dr,42.3936,-71.143941
M32054,699 Mt Auburn St,42.37500235137831,-71.14871613699506
M32056,Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605
M32055,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498
M32057,Vassal Lane at Tobin/VLUS,42.38536765218425,-71.13775670528412
M32060,700 Huron Ave,42.380788172914286,-71.15412890911102
M32061,Mass Ave at Albany St,42.36135837662249,-71.09670273977825
M32062,Inman Square at Springfield St.,42.37426713524931,-71.10026478767395
M32063,Sennott Park Broadway at Norfolk Street,42.36860524248197,-71.09930185605663
M32064,75 Binney St,42.36550728505653,-71.0801375997653
M32065,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933
M32066,Discovery Park - 30 Acorn Park Drive,42.39790817368333,-71.14797130814623
M32067,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875
M32068,Graham and Parks School â€“ Linnaean St at Walker St,42.38294430172271,-71.12449831038248
M32069,Smith Pl at Wilson Rd,42.39239749145834,-71.15058331757609
M32070,MIT Carleton St at Amherst St,42.36054174140606,-71.08669817447662
M32071,MIT Hayward St at Amherst St,42.36085937353302,-71.08551858007559
M32072,Galileo Galilei Way at Main Street,42.363003781560096,-71.08974037706501
M32073,955 Mass Ave,42.36895180540729,-71.10998779535294
M32074,Concord Ave at Spinelli Place,42.390719,-71.1538877
M32075,Danehy Park at New Street,42.389456,-71.139019
M32076,Old Morse Park at Putnam Ave,42.35766247889882,-71.1084133386612
M32077,Cambridge Crossing at North First Street,42.371141,-71.076198
M32078,Galileo Galilei Way at Fulkerson St/Binney St,42.3664204,-71.0885418
M32079,Raymond Park at Walden St,42.38736953747185,-71.12761001482795
M32080,Main Street/Albany Street/Technology Square,42.3629016,-71.0915669
M32081,Gore Street at Lambert Street,42.373079797934935,-71.08634233665725
M32082,Broad Canal Way at Third Street,42.36304549626695,-71.08287078916874
M32083,John Ahern Field at Kennedy-Longfellow School,42.36903566594827,-71.08630959910442
M32084,87-101 Cambridgepark Drive,42.39522187031066,-71.14421904097979
M32085,Mass Ave/Lafayette Square,42.36356498989399,-71.10044184048091
M32086,Morgan Ave at North First St,42.37197725963389,-71.07585847383234
M32087,Church St,42.37433925370521,-71.11966431146357
